Country,Currency,PhoneCode
US,US,US
UK,UK,UK
DE,DE,DE
FR,FR,FR
IT,IT,IT
ES,ES,ES
CA,CA,CA
AU,AU,AU
CN,CN,CN
JP,JP,JP
US,US,US
UK,UK,UK
DE,DE,DE
FR,FR,FR
IT,IT,IT
ES,ES,ES
CA,CA,CA
AU,AU,AU
CN,CN,CN
JP,JP,JP
US,US,US
UK,UK,UK
DE,DE,DE
FR,FR,FR
IT,IT,IT
ES,ES,ES
CA,CA,CA
AU,AU,AU
CN,CN,CN
JP,JP,JP
US,US,US
UK,UK,UK
DE,DE,DE
FR,FR,FR
IT,IT,IT
ES,ES,ES
CA,CA,CA
AU,AU,AU
CN,CN,CN
JP,JP,JP
US,US,US
UK,UK,UK
DE,DE,DE
FR,FR,FR
IT,IT,IT
ES,ES,ES
CA,CA,CA
AU,AU,AU
CN,CN,CN
JP,JP,JP
US,US,US
UK,UK,UK
DE,DE,DE
FR,FR,FR
IT,IT,IT
ES,ES,ES
CA,CA,CA
AU,AU,AU
CN,CN,CN
JP,JP,JP
US,US,US
UK,UK,UK
DE,DE,DE
FR,FR,FR
IT,IT,IT
ES,ES,ES
CA,CA,CA
AU,AU,AU
CN,CN,CN
JP,JP,JP
US,US,US
UK,UK,UK
DE,DE,DE
FR,FR,FR
IT,IT,IT
ES,ES,ES
CA,CA,CA
AU,AU,AU
CN,CN,CN
JP,JP,JP
US,US,US
UK,UK,UK
DE,DE,DE
FR,FR,FR
IT,IT,IT
ES,ES,ES
CA,CA,CA
AU,AU,AU
CN,CN,CN
JP,JP,JP
US,US,US
UK,UK,UK
DE,DE,DE
FR,FR,FR
IT,IT,IT
ES,ES,ES
CA,CA,CA
AU,AU,AU
CN,CN,CN
JP,JP,JP
US,US,US
UK,UK,UK
DE,DE,DE
FR,FR,FR
IT,IT,IT
ES,ES,ES
CA,CA,CA
AU,AU,AU
CN,CN,CN
US,US,US
UK,UK,UK
DE,DE,DE
FR,FR,FR
IT,IT,IT
ES,ES,ES
CA,CA,CA
AU,AU,AU
CN,CN,CN
JP,JP,JP
US,US,US
UK,UK,UK
DE,DE,DE
FR,FR,FR
IT,IT,IT
ES,ES,ES
CA,CA,CA
AU,AU,AU
CN,CN,CN
JP,JP,JP
US,US,US
UK,UK,UK
DE,DE,DE
FR,FR,FR
IT,IT,IT
ES,ES,ES
CA,CA,CA
AU,AU,AU
CN,CN,CN
JP,JP,JP
US,US,US
UK,UK,UK
DE,DE,DE
FR,FR,FR
IT,IT,IT
ES,ES,ES
CA,CA,CA
AU,AU,AU
CN,CN,CN
JP,JP,JP
US,US,US
UK,UK,UK
DE,DE,DE
FR,FR,FR
IT,IT,IT
ES,ES,ES
CA,CA,CA
AU,AU,AU
CN,CN,CN
JP,JP,JP
US,US,US
UK,UK,UK
DE,DE,DE
FR,FR,FR
IT,IT,IT
ES,ES,ES
CA,CA,CA
AU,AU,AU
CN,CN,CN
JP,JP,JP
US,US,US
UK,UK,UK
DE,DE,DE
FR,FR,FR
IT,IT,IT
ES,ES,ES
CA,CA,CA
AU,AU,AU
CN,CN,CN
JP,JP,JP
US,US,US
UK,UK,UK
DE,DE,DE
FR,FR,FR
IT,IT,IT
ES,ES,ES
CA,CA,CA
AU,AU,AU
CN,CN,CN
JP,JP,JP
US,US,US
UK,UK,UK
DE,DE,DE
FR,FR,FR
IT,IT,IT
ES,ES,ES
CA,CA,CA
AU,AU,AU
CN,CN,CN
JP,JP,JP
US,US,US
UK,UK,UK
DE,DE,DE
FR,FR,FR
IT,IT,IT
ES,ES,ES
CA,CA,CA
AU,AU,AU
CN,CN,CN
JP,JP,JP
US,US,US
UK,UK,UK
DE,DE,DE
FR,FR,FR
IT,IT,IT
ES,ES,ES
CA,CA,CA
AU,AU,AU
CN,CN,CN
US,US,US
UK,UK,UK
DE,DE,DE
FR,FR,FR
IT,IT,IT
ES,ES,ES
CA,CA,CA
AU,AU,AU
CN,CN,CN
JP,JP,JP
US,US,US
UK,UK,UK
DE,DE,DE
FR,FR,FR
IT,IT,IT
ES,ES,ES
CA,CA,CA
AU,AU,AU
CN,CN,CN
JP,JP,JP
US,US,US
UK,UK,UK
DE,DE,DE
FR,FR,FR
IT,IT,IT
ES,ES,ES
CA,CA,CA
AU,AU,AU
CN,CN,CN
JP,JP,JP
US,US,US
UK,UK,UK
DE,DE,DE
FR,FR,FR
IT,IT,IT
ES,ES,ES
CA,CA,CA
AU,AU,AU
CN,CN,CN
JP,JP,JP
US,US,US
UK,UK,UK
DE,DE,DE
FR,FR,FR
IT,IT,IT
ES,ES,ES
CA,CA,CA
AU,AU,AU
CN,CN,CN
JP,JP,JP
US,US,US
UK,UK,UK
DE,DE,DE
FR,FR,FR
IT,IT,IT
ES,ES,ES
CA,CA,CA
AU,AU,AU
CN,CN,CN
JP,JP,JP
US,US,US
UK,UK,UK
DE,DE,DE
FR,FR,FR
IT,IT,IT
ES,ES,ES
CA,CA,CA
AU,AU,AU
CN,CN,CN
JP,JP,JP
US,US,US
UK,UK,UK
DE,DE,DE
FR,FR,FR
IT,IT,IT
ES,ES,ES
CA,CA,CA
AU,AU,AU
CN,CN,CN
JP,JP,JP
US,US,US
UK,UK,UK
DE,DE,DE
FR,FR,FR
IT,IT,IT
ES,ES,ES
CA,CA,CA
AU,AU,AU
CN,CN,CN
JP,JP,JP
US,US,US
UK,UK,UK
DE,DE,DE
FR,FR,FR
IT,IT,IT
ES,ES,ES
CA,CA,CA
AU,AU,AU
CN,CN,CN
JP,JP,JP
US,US,US
UK,UK,UK
DE,DE,DE
FR,FR,FR
IT,IT,IT
ES,ES,ES
CA,CA,CA
AU,AU,AU
CN,CN,CN
US,US,US
UK,UK,UK
DE,DE,DE
FR,FR,FR
IT,IT,IT
ES,ES,ES
CA,CA,CA
AU,AU,AU
CN,CN,CN
JP,JP,JP
US,US,US
UK,UK,UK
DE,DE,DE
FR,FR,FR
IT,IT,IT
ES,ES,ES
CA,CA,CA
AU,AU,AU
CN,CN,CN
JP,JP,JP
US,US,US
UK,UK,UK
DE,DE,DE
FR,FR,FR
IT,IT,IT
ES,ES,ES
CA,CA,CA
AU,AU,AU
CN,CN,CN
JP,JP,JP
US,US,US
UK,UK,UK
DE,DE,DE
FR,FR,FR
